State,Year,Total
District of Columbia,1999,12
District of Columbia,1998,10
District of Columbia,1997,11
District of Columbia,1996,5
District of Columbia,1995,8
District of Columbia,1994,6
District of Columbia,1993,6
District of Columbia,1992,3
District of Columbia,1991,4
District of Columbia,1990,4
District of Columbia,1989,3
District of Columbia,1988,5
District of Columbia,1987,6
District of Columbia,1986,8
District of Columbia,1985,6
District of Columbia,1984,8
District of Columbia,1983,6
District of Columbia,1982,10
District of Columbia,1981,9
District of Columbia,1980,11
District of Columbia,1979,5
District of Columbia,1978,9
District of Columbia,1977,10
District of Columbia,1976,8
District of Columbia,1975,7
Florida,2017,210
Florida,2016,181
Florida,2015,175
Florida,2014,155
Florida,2013,152
Florida,2012,156
Florida,2011,154
Florida,2010,150
Florida,2009,150
Florida,2008,118
Florida,2007,104
Florida,2006,94
Florida,2005,91
Florida,2004,82
Florida,2003,136
Florida,2002,133
Florida,2001,135
Florida,2000,127
Florida,1999,120
Florida,1998,114
Florida,1997,110
Florida,1996,115
Florida,1995,100
Florida,1994,79
Florida,1993,87
Florida,1992,84
Florida,1991,76
Florida,1990,80
Florida,1989,69
Florida,1988,77
Florida,1987,55
Florida,1986,56
Florida,1985,46
Florida,1984,55
Florida,1983,55
Florida,1982,70
Florida,1981,67
Florida,1980,62
Florida,1979,71
Florida,1978,52
Florida,1977,57
Florida,1976,51
Florida,1975,46
Georgia,2017,149
Georgia,2016,117
Georgia,2015,93
Georgia,2014,89
Georgia,2013,72
Georgia,2012,73
Georgia,2011,78
Georgia,2010,67
Georgia,2009,67
Georgia,2008,58
Georgia,2007,55
Georgia,2006,61
Georgia,2005,53
Georgia,2004,48
Georgia,2003,70
Georgia,2002,77
Georgia,2001,61
Georgia,2000,72
Georgia,1999,68
Georgia,1998,65
Georgia,1997,64
Georgia,1996,57
Georgia,1995,61
Georgia,1994,44
Georgia,1993,52
Georgia,1992,52
Georgia,1991,44
Georgia,1990,43
Georgia,1989,36
Georgia,1988,27
Georgia,1987,46
Georgia,1986,51
Georgia,1985,32
Georgia,1984,23
Georgia,1983,24
Georgia,1982,24
Georgia,1981,17
Georgia,1980,13
Georgia,1979,17
Georgia,1978,17
Georgia,1977,21
Georgia,1976,27
Georgia,1975,26
Hawaii,2017,19
Hawaii,2016,17
Hawaii,2015,15
Hawaii,2014,14
Hawaii,2013,20
Hawaii,2012,17
Hawaii,2011,14
Hawaii,2010,16
Hawaii,2009,16
Hawaii,2008,13
Hawaii,2007,12
Hawaii,2006,13
Hawaii,2005,17
Hawaii,2004,16
Hawaii,2003,31
Hawaii,2002,40
Hawaii,2001,47
Hawaii,2000,62
Hawaii,1999,66
Hawaii,1998,64
Hawaii,1997,58
Hawaii,1996,47
Hawaii,1995,34
Hawaii,1994,22
Hawaii,1993,17
Hawaii,1992,18
Hawaii,1991,16
Hawaii,1990,19
Hawaii,1989,12
Hawaii,1988,11
Hawaii,1987,0
Hawaii,1986,2
Hawaii,1985,4
Hawaii,1984,17
Hawaii,1983,26
Hawaii,1982,19
Hawaii,1981,12
Hawaii,1980,5
Hawaii,1979,8
Hawaii,1978,17
Hawaii,1977,14
Hawaii,1976,15
Hawaii,1975,16
Idaho,2017,20
Idaho,2016,16
Idaho,2015,11
Idaho,2014,14
Idaho,2013,8
Idaho,2012,11
Idaho,2011,16
Idaho,2010,14
Idaho,2009,14
Idaho,2008,13
Idaho,2007,11
Idaho,2006,11
Idaho,2005,10
Idaho,2004,7
Idaho,2003,12
Idaho,2002,10
Idaho,2001,10
Idaho,2000,10
Idaho,1999,9
Idaho,1998,9
Idaho,1997,10
Idaho,1996,12
Idaho,1995,13
Idaho,1994,7
Idaho,1993,6
Idaho,1992,5
Idaho,1991,7
Idaho,1990,4
Idaho,1989,2
Idaho,1988,1
Idaho,1987,6
Idaho,1986,3
Idaho,1985,7
Idaho,1984,3
Idaho,1983,9
Idaho,1982,7
Idaho,1981,6
Idaho,1980,8
Idaho,1979,9
Idaho,1978,2
Idaho,1977,6
Idaho,1976,6
Idaho,1975,7
Illinois,2017,28118
Illinois,2016,27169
Illinois,2015,26907
Illinois,2014,27160
Illinois,2013,27801
Illinois,2012,28223
Illinois,2011,28729
Illinois,2010,29070
Illinois,2009,29070
Illinois,2008,30287
Illinois,2007,30428
Illinois,2006,30580
Illinois,2005,30064
Illinois,2004,29240
Illinois,2003,29038
Illinois,2002,29000
Illinois,2001,28845
Illinois,2000,28724
Illinois,1999,28856
Illinois,1998,28663
Illinois,1997,28468
Illinois,1996,28921
Illinois,1995,29737
Illinois,1994,30080
Illinois,1993,30299
Illinois,1992,29897
Illinois,1991,30555
Illinois,1990,30354
Illinois,1989,30114
Illinois,1988,29325
Illinois,1987,31648
Illinois,1986,31960
Illinois,1985,31844
Illinois,1984,30867
Illinois,1983,30895
Illinois,1982,31315
Illinois,1981,31518
Illinois,1980,31214
Illinois,1979,30947
Illinois,1978,30251
Illinois,1977,30531
Illinois,1976,30262
Illinois,1975,31648
Indiana,2017,185
Indiana,2016,154
Indiana,2015,150
Indiana,2014,140
Indiana,2013,136
Indiana,2012,145
Indiana,2011,132
Indiana,2010,118
Indiana,2009,118
Indiana,2008,136
Indiana,2007,153
Indiana,2006,139
Indiana,2005,138
Indiana,2004,147
Indiana,2003,217
Indiana,2002,224
Indiana,2001,216
Indiana,2000,206
Indiana,1999,210
Indiana,1998,198
Indiana,1997,181
Indiana,1996,184
Indiana,1995,152
Indiana,1994,149
Indiana,1993,141
Indiana,1992,153
Indiana,1991,148
Indiana,1990,167
Indiana,1989,166
Indiana,1988,164
Indiana,1987,173
Indiana,1986,153
Indiana,1985,135
Indiana,1984,144
Indiana,1983,120
Indiana,1982,124
Indiana,1981,154
Indiana,1980,162
Indiana,1979,150
Indiana,1978,151
Indiana,1977,152
Indiana,1976,162
Indiana,1975,153
Iowa,2017,85
Iowa,2016,77
Iowa,2015,69
Iowa,2014,80
Iowa,2013,81
Iowa,2012,68
Iowa,2011,81
Iowa,2010,81
Iowa,2009,81
Iowa,2008,79
Iowa,2007,80
Iowa,2006,82
Iowa,2005,72
Iowa,2004,69
Iowa,2003,112
Iowa,2002,103
Iowa,2001,97
Iowa,2000,92
Iowa,1999,103
Iowa,1998,100
Iowa,1997,107
Iowa,1996,92
Iowa,1995,80
Iowa,1994,62
Iowa,1993,70
Iowa,1992,72
Iowa,1991,78
Iowa,1990,78
Iowa,1989,77
Iowa,1988,51
Iowa,1987,54
Iowa,1986,59
Iowa,1985,68
Iowa,1984,61
Iowa,1983,52
Iowa,1982,56
Iowa,1981,49
Iowa,1980,59
Iowa,1979,74
Iowa,1978,68
Iowa,1977,54
Iowa,1976,49
Iowa,1975,54
Kansas,2017,52
Kansas,2016,42
Kansas,2015,43
Kansas,2014,53
Kansas,2013,53
Kansas,2012,40
Kansas,2011,43
Kansas,2010,52
Kansas,2009,52
Kansas,2008,54
Kansas,2007,59
Kansas,2006,66
Kansas,2005,63
Kansas,2004,58
Kansas,2003,93
Kansas,2002,77
Kansas,2001,82
Kansas,2000,69
Kansas,1999,53
Kansas,1998,57
Kansas,1997,51
Kansas,1996,42
Kansas,1995,46
Kansas,1994,35
Kansas,1993,36
Kansas,1992,29
Kansas,1991,39
Kansas,1990,44
Kansas,1989,37
Kansas,1988,33
Kansas,1987,42
Kansas,1986,11
Kansas,1985,40
Kansas,1984,29
Kansas,1983,36
Kansas,1982,38
Kansas,1981,31
Kansas,1980,38
Kansas,1979,32
Kansas,1978,31
Kansas,1977,38
Kansas,1976,23
Kansas,1975,30
Kentucky,2017,57
Kentucky,2016,56
Kentucky,2015,58
Kentucky,2014,61
Kentucky,2013,57
Kentucky,2012,49
Kentucky,2011,48
Kentucky,2010,43
Kentucky,2009,43
Kentucky,2008,54
Kentucky,2007,52
Kentucky,2006,65
Kentucky,2005,65
Kentucky,2004,49
Kentucky,2003,76
Kentucky,2002,71
Kentucky,2001,73
Kentucky,2000,75
Kentucky,1999,68
Kentucky,1998,59
Kentucky,1997,64
Kentucky,1996,54
Kentucky,1995,54
Kentucky,1994,52
Kentucky,1993,71
Kentucky,1992,71
Kentucky,1991,67
Kentucky,1990,65
Kentucky,1989,59
Kentucky,1988,49
Kentucky,1987,60
Kentucky,1986,62
Kentucky,1985,53
Kentucky,1984,44
Kentucky,1983,34
Kentucky,1982,36
Kentucky,1981,35
Kentucky,1980,28
Kentucky,1979,28
Kentucky,1978,30
Kentucky,1977,33
Kentucky,1976,22
Kentucky,1975,39
Louisiana,2017,31
Louisiana,2016,28
Louisiana,2015,25
Louisiana,2014,29
Louisiana,2013,29
Louisiana,2012,20
Louisiana,2011,15
Louisiana,2010,18
Louisiana,2009,18
Louisiana,2008,19
Louisiana,2007,24
Louisiana,2006,25
Louisiana,2005,19
Louisiana,2004,21
Louisiana,2003,36
Louisiana,2002,29
Louisiana,2001,32
Louisiana,2000,35
Louisiana,1999,22
Louisiana,1998,26
Louisiana,1997,34
Louisiana,1996,32
Louisiana,1995,30
Louisiana,1994,32
Louisiana,1993,26
Louisiana,1992,19
Louisiana,1991,25
Louisiana,1990,22
Louisiana,1989,13
Louisiana,1988,12
Louisiana,1987,11
Louisiana,1986,16
Louisiana,1985,23
Louisiana,1984,16
Louisiana,1983,13
Louisiana,1982,9
Louisiana,1981,14
Louisiana,1980,10
Louisiana,1979,14
Louisiana,1978,12
Louisiana,1977,23
Louisiana,1976,27
Louisiana,1975,19
Maine,2017,15
Maine,2016,14
Maine,2015,14
Maine,2014,10
Maine,2013,8
Maine,2012,10
Maine,2011,8
Maine,2010,10
Maine,2009,10
Maine,2008,10
Maine,2007,8
Maine,2006,6
Maine,2005,8
Maine,2004,8
Maine,2003,17
Maine,2002,16
Maine,2001,17
Maine,2000,13
Maine,1999,12
Maine,1998,14
Maine,1997,17
Maine,1996,15
Maine,1995,10
Maine,1994,8
Maine,1993,4
Maine,1992,5
Maine,1991,5
Maine,1990,4
Maine,1989,4
Maine,1988,4
Maine,1987,2
Maine,1986,6
Maine,1985,5
Maine,1984,4
Maine,1983,4
Maine,1982,4
Maine,1981,7
Maine,1980,4
Maine,1979,5
Maine,1978,7
Maine,1977,9
Maine,1976,10
Maine,1975,6
Maryland,2017,136
Maryland,2016,119
Maryland,2015,123
Maryland,2014,128
Maryland,2013,124
Maryland,2012,114
Maryland,2011,118
Maryland,2010,105
Maryland,2009,105
Maryland,2008,120
Maryland,2007,121
Maryland,2006,125
Maryland,2005,128
Maryland,2004,128
Maryland,2003,168
Maryland,2002,141
Maryland,2001,139
Maryland,2000,120
Maryland,1999,108
Maryland,1998,124
Maryland,1997,124
Maryland,1996,128
Maryland,1995,110
Maryland,1994,95
Maryland,1993,87
Maryland,1992,78
Maryland,1991,71
Maryland,1990,61
Maryland,1989,45
Maryland,1988,36
Maryland,1987,49
Maryland,1986,49
Maryland,1985,39
Maryland,1984,36
Maryland,1983,41
Maryland,1982,39
Maryland,1981,48
Maryland,1980,43
Maryland,1979,26
Maryland,1978,35
Maryland,1977,34
Maryland,1976,47
Maryland,1975,54
Massachusetts,2017,184
Massachusetts,2016,160
Massachusetts,2015,148
Massachusetts,2014,148
Massachusetts,2013,141
Massachusetts,2012,144
Massachusetts,2011,135
Massachusetts,2010,118
Massachusetts,2009,118
Massachusetts,2008,88
Massachusetts,2007,84
Massachusetts,2006,71
Massachusetts,2005,79
Massachusetts,2004,87
Massachusetts,2003,130
Massachusetts,2002,118
Massachusetts,2001,116
Massachusetts,2000,101
Massachusetts,1999,105
Massachusetts,1998,101
Massachusetts,1997,88
Massachusetts,1996,90
Massachusetts,1995,76
Massachusetts,1994,61
Massachusetts,1993,72
Massachusetts,1992,69
Massachusetts,1991,64
Massachusetts,1990,51
Massachusetts,1989,54
Massachusetts,1988,46
Massachusetts,1987,48
Massachusetts,1986,50
Massachusetts,1985,50
Massachusetts,1984,41
Massachusetts,1983,45
Massachusetts,1982,51
Massachusetts,1981,57
Massachusetts,1980,57
Massachusetts,1979,58
Massachusetts,1978,65
Massachusetts,1977,43
Massachusetts,1976,55
Massachusetts,1975,62
Michigan,2017,258
Michigan,2016,228
Michigan,2015,225
Michigan,2014,233
Michigan,2013,217
Michigan,2012,188
Michigan,2011,187
Michigan,2010,172
Michigan,2009,172
Michigan,2008,152
Michigan,2007,135
Michigan,2006,163
Michigan,2005,147
Michigan,2004,142
Michigan,2003,232
Michigan,2002,208
Michigan,2001,191
Michigan,2000,169
Michigan,1999,167
Michigan,1998,176
Michigan,1997,183
Michigan,1996,191
Michigan,1995,163
Michigan,1994,143
Michigan,1993,143
Michigan,1992,141
Michigan,1991,134
Michigan,1990,144
Michigan,1989,112
Michigan,1988,108
Michigan,1987,116
Michigan,1986,114
Michigan,1985,104
Michigan,1984,109
Michigan,1983,92
Michigan,1982,91
Michigan,1981,106
Michigan,1980,110
Michigan,1979,99
Michigan,1978,80
Michigan,1977,94
Michigan,1976,98
Michigan,1975,79
Minnesota,2017,161
Minnesota,2016,141
Minnesota,2015,126
Minnesota,2014,124
Minnesota,2013,108
Minnesota,2012,112
Minnesota,2011,115
Minnesota,2010,107
Minnesota,2009,107
Minnesota,2008,83
Minnesota,2007,82
Minnesota,2006,84
Minnesota,2005,74
Minnesota,2004,87
Minnesota,2003,147
Minnesota,2002,141
Minnesota,2001,147
Minnesota,2000,133
Minnesota,1999,138
Minnesota,1998,125
Minnesota,1997,107
Minnesota,1996,58
Minnesota,1995,89
Minnesota,1994,70
Minnesota,1993,64
Minnesota,1992,63
Minnesota,1991,57
Minnesota,1990,27
Minnesota,1989,56
Minnesota,1988,52
Minnesota,1987,56
Minnesota,1986,52
Minnesota,1985,67
Minnesota,1984,69
Minnesota,1983,70
Minnesota,1982,54
Minnesota,1981,59
Minnesota,1980,55
Minnesota,1979,41
Minnesota,1978,45
Minnesota,1977,57
Minnesota,1976,46
Minnesota,1975,48
Mississippi,2017,16
Mississippi,2016,11
Mississippi,2015,10
Mississippi,2014,11
Mississippi,2013,16
Mississippi,2012,14
Mississippi,2011,12
Mississippi,2010,11
Mississippi,2009,11
Mississippi,2008,10
Mississippi,2007,9
Mississippi,2006,9
Mississippi,2005,11
Mississippi,2004,8
Mississippi,2003,14
Mississippi,2002,17
Mississippi,2001,14
Mississippi,2000,16
Mississippi,1999,15
Mississippi,1998,22
Mississippi,1997,19
Mississippi,1996,17
Mississippi,1995,13
Mississippi,1994,15
Mississippi,1993,15
Mississippi,1992,11
Mississippi,1991,11
Mississippi,1990,7
Mississippi,1989,6
Mississippi,1988,8
Mississippi,1987,6
Mississippi,1986,5
Mississippi,1985,8
Mississippi,1984,6
Mississippi,1983,6
Mississippi,1982,4
Mississippi,1981,11
Mississippi,1980,11
Mississippi,1979,5
Mississippi,1978,12
Mississippi,1977,14
Mississippi,1976,13
Mississippi,1975,16
Missouri,2017,259
Missouri,2016,215
Missouri,2015,214
Missouri,2014,224
Missouri,2013,231
Missouri,2012,244
Missouri,2011,222
Missouri,2010,227
Missouri,2009,227
Missouri,2008,247
Missouri,2007,250
Missouri,2006,276
Missouri,2005,278
Missouri,2004,290
Missouri,2003,416
Missouri,2002,401
Missouri,2001,414
Missouri,2000,392
Missouri,1999,399
Missouri,1998,409
Missouri,1997,391
Missouri,1996,370
Missouri,1995,316
Missouri,1994,304
Missouri,1993,276
Missouri,1992,259
Missouri,1991,255
Missouri,1990,243
Missouri,1989,227
Missouri,1988,230
Missouri,1987,250
Missouri,1986,239
Missouri,1985,230
Missouri,1984,193
Missouri,1983,194
Missouri,1982,126
Missouri,1981,164
Missouri,1980,166
Missouri,1979,141
Missouri,1978,137
Missouri,1977,124
Missouri,1976,118
Missouri,1975,131
Montana,2017,4
Montana,2016,4
Montana,2015,3
Montana,2014,3
Montana,2013,3
Montana,2012,6
Montana,2011,6
Montana,2010,5
Montana,2009,5
Montana,2008,4
Montana,2007,4
Montana,2006,2
Montana,2005,3
Montana,2004,8
Montana,2003,10
Montana,2002,13
Montana,2001,11
Montana,2000,10
Montana,1999,9
Montana,1998,6
Montana,1997,12
Montana,1996,7
Montana,1995,7
Montana,1994,7
Montana,1993,9
Montana,1992,5
Montana,1991,3
Montana,1990,3
Montana,1989,5
Montana,1988,3
Montana,1987,7
Montana,1986,9
Montana,1985,12
Montana,1984,9
Montana,1983,9
Montana,1982,5
Montana,1981,7
Montana,1980,4
Montana,1979,4
Montana,1978,4
Montana,1977,7
Montana,1976,2
Montana,1975,4
Nebraska,2017,36
Nebraska,2016,28
Nebraska,2015,26
Nebraska,2014,28
Nebraska,2013,26
Nebraska,2012,26
Nebraska,2011,28
Nebraska,2010,32
Nebraska,2009,32
Nebraska,2008,31
Nebraska,2007,35
Nebraska,2006,39
Nebraska,2005,33
Nebraska,2004,30
Nebraska,2003,47
Nebraska,2002,55
Nebraska,2001,58
Nebraska,2000,58
Nebraska,1999,56
Nebraska,1998,56
Nebraska,1997,55
Nebraska,1996,51
Nebraska,1995,41
Nebraska,1994,25
Nebraska,1993,23
Nebraska,1992,27
Nebraska,1991,28
Nebraska,1990,19
Nebraska,1989,25
Nebraska,1988,28
Nebraska,1987,26
Nebraska,1986,26
Nebraska,1985,36
Nebraska,1984,38
Nebraska,1983,26
Nebraska,1982,21
Nebraska,1981,17
Nebraska,1980,24
Nebraska,1979,21
Nebraska,1978,26
Nebraska,1977,26
Nebraska,1976,26
Nebraska,1975,31
Nevada,2017,21
Nevada,2016,16
Nevada,2015,16
Nevada,2014,15
Nevada,2013,13
Nevada,2012,16
Nevada,2011,14
Nevada,2010,14
Nevada,2009,14
Nevada,2008,14
Nevada,2007,15
Nevada,2006,12
Nevada,2005,8
Nevada,2004,8
Nevada,2003,17
Nevada,2002,16
Nevada,2001,15
Nevada,2000,20
Nevada,1999,18
Nevada,1998,13
Nevada,1997,16
Nevada,1996,13
Nevada,1995,11
Nevada,1994,9
Nevada,1993,7
Nevada,1992,8
Nevada,1991,6
Nevada,1990,5
Nevada,1989,4
Nevada,1988,7
Nevada,1987,5
Nevada,1986,2
Nevada,1985,5
Nevada,1984,3
Nevada,1983,1
Nevada,1982,3
Nevada,1981,2
Nevada,1980,2
Nevada,1979,1
Nevada,1978,2
Nevada,1977,5
Nevada,1976,3
Nevada,1975,1
New Hampshire,2017,27
New Hampshire,2016,25
New Hampshire,2015,25
New Hampshire,2014,24
New Hampshire,2013,27
New Hampshire,2012,22
New Hampshire,2011,19
New Hampshire,2010,17
New Hampshire,2009,17
New Hampshire,2008,15
New Hampshire,2007,16
New Hampshire,2006,21
New Hampshire,2005,17
New Hampshire,2004,11
New Hampshire,2003,23
New Hampshire,2002,21
New Hampshire,2001,18
New Hampshire,2000,19
New Hampshire,1999,16
New Hampshire,1998,14
New Hampshire,1997,16
New Hampshire,1996,17
New Hampshire,1995,17
New Hampshire,1994,13
New Hampshire,1993,15
New Hampshire,1992,14
New Hampshire,1991,13
New Hampshire,1990,15
New Hampshire,1989,9
New Hampshire,1988,6
New Hampshire,1987,8
New Hampshire,1986,11
New Hampshire,1985,8
New Hampshire,1984,10
New Hampshire,1983,1
New Hampshire,1982,2
New Hampshire,1981,8
New Hampshire,1980,8
New Hampshire,1979,16
New Hampshire,1978,13
New Hampshire,1977,13
New Hampshire,1976,13
New Hampshire,1975,11
New Jersey,2017,430
New Jersey,2016,378
New Jersey,2015,372
New Jersey,2014,338
New Jersey,2013,299
New Jersey,2012,264
New Jersey,2011,251
New Jersey,2010,223
New Jersey,2009,223
New Jersey,2008,200
New Jersey,2007,174
New Jersey,2006,185
New Jersey,2005,196
New Jersey,2004,198
New Jersey,2003,241
New Jersey,2002,204
New Jersey,2001,208
New Jersey,2000,191
New Jersey,1999,178
New Jersey,1998,180
New Jersey,1997,172
New Jersey,1996,185
New Jersey,1995,160
New Jersey,1994,156
New Jersey,1993,139
New Jersey,1992,122
New Jersey,1991,118
New Jersey,1990,115
New Jersey,1989,103
New Jersey,1988,100
New Jersey,1987,105
New Jersey,1986,88
New Jersey,1985,103
New Jersey,1984,95
New Jersey,1983,84
New Jersey,1982,88
New Jersey,1981,88
New Jersey,1980,82
New Jersey,1979,87
New Jersey,1978,82
New Jersey,1977,95
New Jersey,1976,88
New Jersey,1975,106
New Mexico,2017,32
New Mexico,2016,27
New Mexico,2015,19
New Mexico,2014,17
New Mexico,2013,15
New Mexico,2012,19
New Mexico,2011,20
New Mexico,2010,18
New Mexico,2009,18
New Mexico,2008,19
New Mexico,2007,20
New Mexico,2006,17
New Mexico,2005,18
New Mexico,2004,19
New Mexico,2003,34
New Mexico,2002,34
New Mexico,2001,30
New Mexico,2000,32
New Mexico,1999,44
New Mexico,1998,41
